# source_id - Gaia DR2 identifier
# flags - stream name
# source - the literature source (explained below)
# Keys for literature sources given in this column are the following: 
# Koposov10 - Koposov et al. 2010 radial velocities, the distances are estimated from fits to tracks
# Li17 - Li et al. 2017 radial velocities, the distances are estimated from fits to tracks
# Willet09 - Willet et al. 2009 radial velocities, the distances are estimated from fits to tracks
# Ibata17 - Ibata et al. 2017 radial velocities, the distances are estimated from fits to tracks
# PriceWhelan19 - Price-Whelan et al. 2019 distances, radial velocities are estimated from fits to tracks
# Koposov19 - Koposov et al. 2019 distances, radial velocities are estimated from fits to tracks
# Koposov19&Li17 - Koposov et al. 2019 distances, Li et al. 2017 radial velocities
# Koppelman19 - Koppelman et al. 2019 members
# dist - heliocentric distances (in kpc)
# radial_velocity - heliocentric radial velocities (in km/s)
# radial_velocity_error - radial velocity errors (in km/s), missing for the stars for which radial velocity was estimated from tracks


# source_id             flags    source           dist        radial_velocity   radial_velocity_error
  840910650451797376    GD1      Koposov10        9.316391    -172.2            6.6                    
  840909791458321664    GD1      Koposov10        9.307111    -217.2            10.7                   
  840815821869730816    GD1      Koposov10        9.282702    -162.9            9.6                    
  840779396251675648    GD1      Koposov10        9.232073    -191.4            7.5                    
  840404050469298944    GD1      Koposov10        9.180121    -179.0            10.0                   
  838045116991237120    GD1      Koposov10        8.750623    -144.4            10.5                   
  831429870922999680    GD1      Koposov10        8.551377    -111.2            17.8                   
  831307554553041152    GD1      Koposov10        8.521344    -67.8             7.1                    
  829771188913385216    GD1      Koposov10        8.463971    -114.2            7.3                    
  829067948147937664    GD1      Koposov10        8.312181    -92.7             8.7                    
  804797848174834944    GD1      Koposov10        8.219129    -71.5             9.2                    
  804433085192311552    GD1      Koposov10        8.194299    -71.5             9.6                    
  804389959418082688    GD1      Koposov10        8.163424    -74.3             9.8                    
  802764885533322112    GD1      Koposov10        8.128361    -30.9             9.2                    
  802759044377814784    GD1      Koposov10        8.122489    -35.3             7.5                    
  803480079186319616    GD1      Koposov10        8.110736    -30.9             12.8                   
  803471076934953600    GD1      Koposov10        8.103199    -50.4             5.2                    
  802795392680211584    GD1      Koposov10        8.027731    -11.7             11.2                   
  802795392680214784    GD1      Koposov10        8.02788     1.1               5.6                    
  796715952372216960    GD1      Koposov10        7.992306    -5.2              6.5                    
  796618027117773312    GD1      Koposov10        7.984547    2.9               8.7                    
  794368529406166272    GD1      Koposov10        7.902797    29.3              10.2                   
  793796886439492992    GD1      Koposov10        7.866355    28.8              6.9                    
  696138061798355840    GD1      Li17             7.820511    38.13             47.26                  
  793910484031755264    GD1      Li17             7.876385    16.26             45.05                  
  829645264771612800    GD1      Li17             8.430458    -96.82            31.19                  
  793009399891751040    GD1      Li17             7.85847     31.9              41.28                  
  696793297712591872    GD1      Li17             7.842817    44.26             32.19                  
  694353756288124288    GD1      Li17             7.807497    73.08             63.41                  
  829902516131425920    GD1      Li17             8.333965    -91.49            34.97                  
  793947867427047552    GD1      Li17             7.886361    13.63             44.52                  
  3076489987568667264   GD1      Willett09        8.468453    249.4             7.8                    
  3076499608294692096   GD1      Willett09        8.462649    260.3             3.6                    
  598105222812160768    GD1      Willett09        8.033085    186.9             14.5                   
  598858800594146176    GD1      Willett09        7.990413    193.9             6.0                    
  598891304906714368    GD1      Willett09        7.983467    186.5             4.0                    
  605005762083648000    GD1      Willett09        7.954802    175.1             2.5                    
  638797151723824128    GD1      Willett09        7.799324    114.5             11.6                   
  638800141021069952    GD1      Willett09        7.799158    116.7             4.7                    
  638895798532298496    GD1      Willett09        7.798386    124.7             11.8                   
  697076117015663104    GD1      Willett09        7.824914    47.8              4.2                    
  696304358635241600    GD1      Willett09        7.823166    46.9              3.9                    
  696354012753818112    GD1      Willett09        7.82918     41.7              4.7                    
  696255228506118144    GD1      Willett09        7.82456     46.5              5.1                    
  696256843413819008    GD1      Willett09        7.825417    46.4              1.7                    
  696336931667419648    GD1      Willett09        7.829053    44.1              4.6                    
  696351431477128064    GD1      Willett09        7.832282    41.0              1.7                    
  696727189575559168    GD1      Willett09        7.833649    43.2              8.0                    
  697636073375298304    GD1      Willett09        7.844818    33.6              4.8                    
  697643563798301952    GD1      Willett09        7.847201    41.2              4.4                    
  696766467053271680    GD1      Willett09        7.841055    40.6              3.9                    
  696862154628375296    GD1      Willett09        7.843776    39.8              3.6                    
  696895449214519168    GD1      Willett09        7.850419    40.4              11.0                   
  829913579967216512    GD1      Willett09        8.329684    -85.0             6.8                    
  829054822727842048    GD1      Willett09        8.310509    -87.1             6.0                    
  829064001079200512    GD1      Willett09        8.317961    -86.7             12.7                   
  829078019852446848    GD1      Willett09        8.324546    -85.5             11.9                   
  829009506534211072    GD1      Willett09        8.320835    -82.1             5.2                    
  829162712309098240    GD1      Willett09        8.336529    -74.4             9.8                    
  829185531472939904    GD1      Willett09        8.355092    -87.1             9.1                    
  829210029966390656    GD1      Willett09        8.362934    -87.2             4.4                    
  829212057190935680    GD1      Willett09        8.368989    -93.2             3.9                    
  832084183420706304    GD1      Willett09        8.539805    -118.3            6.9                    
  831315388573356544    GD1      Willett09        8.53667     -118.7            12.2                   
  831334664386567552    GD1      Willett09        8.54604     -126.6            2.6                    
  831457221275116032    GD1      Willett09        8.598035    -123.6            7.1                    
  832701249962246400    GD1      Willett09        8.649181    -131.6            8.2                    
  831855794240099712    GD1      Willett09        8.627963    -127.4            8.8                    
  831892803974221184    GD1      Willett09        8.666519    -131.5            3.9                    
  3862715641233131136   Orphan   Li17             21.469107   224.29            24.58                  
  623761815545701376    Orphan   Li17             25.18089    213.1             29.05                  
  625392769246309504    Orphan   Li17             26.736542   210.66            26.9                   
  745281004583321728    Orphan   Li17             34.14029    178.34            32.85                  
  794998485144828032    Orphan   Li17             35.385975   167.52            40.15                  
  3559207310496491648   Orphan   Li17             17.288736   206.94            6.85                   
  3559236859871511040   Orphan   Li17             17.303362   206.84            5.42                   
  3559500605222199040   Orphan   Li17             17.34973    201.34            6.07                   
  3562460520588383104   Orphan   Li17             17.384878   217.57            6.86                   
  3559902614161082752   Orphan   Li17             17.375362   213.14            2.77                   
  3562612321912627840   Orphan   Li17             17.421585   207.8             4.77                   
  3559933572285504256   Orphan   Li17             17.3942     199.56            4.97                   
  3562938567628284544   Orphan   Li17             17.419775   214.1             3.42                   
  3806230391724244224   Orphan   Li17             19.55812    224.55            2.49                   
  3806238019586187520   Orphan   Li17             19.575302   226.11            7.21                   
  3806273066519157504   Orphan   Li17             19.54139    226.59            3.19                   
  3806528020073142272   Orphan   Li17             19.630936   224.41            3.02                   
  3806614984570902144   Orphan   Li17             19.735292   231.26            2.01                   
  3807400134657214848   Orphan   Li17             19.846077   238.96            3.21                   
  3863848236993871488   Orphan   Li17             21.862223   217.05            4.08                   
  3882125453141710848   Orphan   Li17             22.327297   222.6             2.04                   
  3876396379085989376   Orphan   Li17             22.539593   226.66            4.58                   
  3889253964981977472   Orphan   Li17             24.486135   212.16            7.1                    
  3890296095846572160   Orphan   Li17             24.953535   217.48            1.61                   
  3890215144302608000   Orphan   Li17             24.887348   212.35            1.93                   
  3890324339551568896   Orphan   Li17             25.011395   205.46            3.21                   
  3890404706979164928   Orphan   Li17             25.23128    212.62            5.39                   
  623997244177536512    Orphan   Li17             25.572025   211.95            3.32                   
  624157566716484096    Orphan   Li17             25.824808   214.91            4.28                   
  625033259008713344    Orphan   Li17             26.079767   207.33            3.73                   
