#1) phi1 (deg)
#2) phi2 - 1 sigma (deg)
#3) phi2 (median) (deg)
#4) phi2 + 1 sigma (deg)
-8.08 -2.09140638502 -2.0445498658 -1.99760023428 ## by land
-7.08 -1.69140638502 -1.6445498658 -1.59760023428
-7.06 -1.68304096181 -1.63665339872 -1.59023275126
-7.04 -1.6746857467 -1.62875626089 -1.58289145535
-7.02 -1.66638491327 -1.62090188085 -1.57557576761
-7.0 -1.65808682964 -1.6130959289 -1.56822777608
-6.98 -1.64979949647 -1.6053350472 -1.56092782744
-6.96 -1.64150624893 -1.5975647553 -1.55362537958
-6.94 -1.63332827687 -1.58979123419 -1.54630532223
-6.92 -1.62519136647 -1.5820686667 -1.53906913771
-6.9 -1.61702361593 -1.57438252046 -1.53182388307
-6.88 -1.60886729979 -1.56668644346 -1.52464034406
-6.86 -1.60072094506 -1.55905321657 -1.51739705244
-6.84 -1.59260337242 -1.55143159582 -1.51022658083
-6.82 -1.584500867 -1.54381010951 -1.50307842258
-6.8 -1.57643682461 -1.53620915297 -1.49595330279
-6.78 -1.56839442537 -1.52859946775 -1.48882710878
-6.76 -1.56035854011 -1.52100383 -1.48174434046
-6.74 -1.55236198521 -1.51346924722 -1.47460653823
-6.72 -1.54438028941 -1.50596213339 -1.46757846676
-6.7 -1.53643756383 -1.49847677657 -1.46052758253
-6.68 -1.52847867179 -1.49102658795 -1.45349091313
-6.66 -1.52060953396 -1.48354755481 -1.44650919807
-6.64 -1.51268894773 -1.47613546264 -1.43951566571
-6.62 -1.50483023241 -1.46873316072 -1.43252379071
-6.6 -1.49696766375 -1.46134177335 -1.4255194034
-6.58 -1.48916550061 -1.45401352194 -1.41859131794
-6.56 -1.4814066443 -1.4466775677 -1.41169783463
-6.54 -1.47363413934 -1.43933778084 -1.4048446361
-6.52 -1.46587843389 -1.43204564778 -1.39789451806
-6.5 -1.45816995415 -1.42476997137 -1.3910429014
-6.48 -1.45047481784 -1.41748527353 -1.3841819484
-6.46 -1.44282404168 -1.41025156051 -1.37733694047
-6.44 -1.43523416015 -1.40302263207 -1.37052508132
-6.42 -1.42763049949 -1.39584399119 -1.36371562199
-6.4 -1.42007893626 -1.38869064332 -1.35694763364
-6.38 -1.41251904169 -1.38155513322 -1.35022616893
-6.36 -1.40502164102 -1.37440882271 -1.34347163731
-6.34 -1.39749546171 -1.36727096617 -1.33671800863
-6.32 -1.38999364408 -1.36017234758 -1.33007825762
-6.3 -1.38255934659 -1.35309129334 -1.32341169156
-6.28 -1.37511206361 -1.34604654136 -1.31679103864
-6.26 -1.36769449451 -1.33898831769 -1.31016826369
-6.24 -1.36030273658 -1.33199659963 -1.30357818941
-6.22 -1.35300953389 -1.32500683134 -1.29699358972
-6.2 -1.34573809595 -1.31805941491 -1.29040939763
-6.18 -1.33847947645 -1.31112837243 -1.2838164208
-6.16 -1.33122716969 -1.30421948599 -1.27727242329
-6.14 -1.32404869897 -1.2973310597 -1.27074329696
-6.12 -1.31684267844 -1.29048714096 -1.26424275199
-6.1 -1.30967646182 -1.28363246284 -1.25772830433
-6.08 -1.30254721409 -1.27681132142 -1.25126896561
-6.06 -1.29542090901 -1.27004363686 -1.24479294529
-6.04 -1.28832339667 -1.26324909461 -1.23830068476
-6.02 -1.28127701433 -1.25650202657 -1.23185555538
-6.0 -1.27426446028 -1.24980071716 -1.22540993405
-5.98 -1.26729104121 -1.24312004424 -1.21903988612
-5.96 -1.26032346004 -1.23641188482 -1.21263751678
-5.94 -1.2534249605 -1.22975506145 -1.20631839318
-5.92 -1.24653154881 -1.22312082189 -1.19998959855
-5.9 -1.23966520858 -1.21652765395 -1.19363087564
-5.88 -1.23284736881 -1.2099418528 -1.18735760704
-5.86 -1.22604890778 -1.2034232298 -1.18107499759
-5.84 -1.21924963793 -1.19688196601 -1.1747654774
-5.82 -1.21250413524 -1.19039535826 -1.16850589745
-5.8 -1.20579934641 -1.1839119453 -1.16226344967
-5.78 -1.19912009373 -1.17744342771 -1.15604712146
-5.76 -1.19246562883 -1.1710419834 -1.14989889348
-5.74 -1.18587458491 -1.1646340206 -1.14371663418
-5.72 -1.17932076495 -1.15825662623 -1.13757155208
-5.7 -1.17281628108 -1.15190246761 -1.13137924288
-5.68 -1.16630643882 -1.14557207399 -1.1252509826
-5.66 -1.15980371774 -1.13926321611 -1.11916117461
-5.64 -1.15338590726 -1.13297399166 -1.11306064259
-5.62 -1.14691397882 -1.12672837535 -1.10703541948
-5.6 -1.14049272512 -1.12049042907 -1.10094927966
-5.58 -1.13415975007 -1.1143184828 -1.09493065405
-5.56 -1.12783521198 -1.10815555085 -1.08885208408
-5.54 -1.12157947759 -1.1019923297 -1.082831489
-5.52 -1.115312502 -1.09585552844 -1.07682600523
-5.5 -1.10912868438 -1.08976722552 -1.07083829994
-5.48 -1.10295570404 -1.08370801406 -1.06487762789
-5.46 -1.09680932523 -1.07765686296 -1.05890816648
-5.44 -1.09071324659 -1.07163041095 -1.05296377675
-5.42 -1.08462507889 -1.06561725501 -1.04701154126
-5.4 -1.07855183908 -1.05961718251 -1.04109259934
-5.38 -1.07250966418 -1.05369610739 -1.03526737865
-5.36 -1.06654931338 -1.04779807892 -1.02942121584
-5.34 -1.06063446051 -1.04192492096 -1.02361929172
-5.32 -1.0546807087 -1.03605166031 -1.01778516904
-5.3 -1.04879816796 -1.03022052074 -1.01195714972
-5.28 -1.04291967404 -1.02440803737 -1.00616596092
-5.26 -1.03708465236 -1.01860236146 -1.00040158235
-5.24 -1.03134770424 -1.01284796322 -0.994689149747
-5.22 -1.02562333779 -1.00708421388 -0.98901629084
-5.2 -1.01990201376 -1.00139493707 -0.983320843261
-5.18 -1.01419014083 -0.995720560787 -0.977686272976
-5.16 -1.00851358108 -0.990113485925 -0.972012346951
-5.14 -1.00291219467 -0.984508607652 -0.966402982432
-5.12 -0.997340669698 -0.978890151092 -0.960803191978
-5.1 -0.991784599784 -0.973323667459 -0.955224664302
-5.08 -0.986245141355 -0.96778210321 -0.94966901653
-5.06 -0.980737061863 -0.962283192476 -0.944122037824
-5.04 -0.975273005671 -0.956789496494 -0.938622041501
-5.02 -0.969899555004 -0.951297681438 -0.933154016847
-5.0 -0.964487800671 -0.945858900475 -0.92765534712
-4.98 -0.959114574229 -0.940424884586 -0.922202118656
-4.96 -0.953788657564 -0.935049739987 -0.916792565513
-4.94 -0.948457925647 -0.929704221618 -0.911402129053
-4.92 -0.943180464028 -0.924370198068 -0.906035325177
-4.9 -0.93793645763 -0.919084601303 -0.900702756851
-4.88 -0.932709740238 -0.913840689623 -0.895383812697
-4.86 -0.927513438847 -0.908624715705 -0.890098362742
-4.84 -0.922357317209 -0.90342502021 -0.884876780693
-4.82 -0.917182869153 -0.898257725067 -0.879646932662
-4.8 -0.912089808726 -0.893100814847 -0.87441846828
-4.78 -0.907012936984 -0.887981091835 -0.869236425817
-4.76 -0.901991988527 -0.882883459197 -0.864077063802
-4.74 -0.896985728993 -0.877848396704 -0.858926633665
-4.72 -0.891982396397 -0.872818835222 -0.853819483706
-4.7 -0.887058039784 -0.867811401788 -0.848774266515
-4.68 -0.882163842306 -0.862823868451 -0.84376178544
-4.66 -0.877254759957 -0.857873420329 -0.83874101851
-4.64 -0.872396438625 -0.852941088867 -0.83375703403
-4.62 -0.867545781206 -0.848048563294 -0.828792689024
-4.6 -0.862744405287 -0.843174509343 -0.823888560842
-4.58 -0.85796320441 -0.83835126069 -0.818957321461
